fid,sif_mean_735,sif_mean_743,longitude,latitude,B_REFL_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ,VZA_mean,COMP_mean
648,0.7624941617,1.5371865034,-98.8978541055,49.3855684154,423.068966,3194.137931,1930.482759,5023.37931,2709.071429,,830.607143,-4744.636364,2941.117647,,2033.925926,164.500000
649,0.981960088,1.3314700789,-98.8519937561,49.3855684154,453.962963,3360.857143,2083.892857,5206.75,2899.785714,,891.428571,-4821.304348,2902.928571,,1677.518519,163.000000
650,0.6658472538,1.1321183801,-98.8061334068,49.3855684154,499.517241,3231.310345,2389.827586,4945.586207,2890.827586,,958.655172,-4839.36,2893.545455,,1589.034483,
651,0.6747844195,0.98825345,-98.7602730575,49.3855684154,498,2362.285714,2789.071429,4147.214286,2291.892857,,945.107143,-4834.409091,2891.909091,,1562.107143,
652,0.8041794246,1.1439421475,-98.6685523588,49.3855684154,489.5,2302.464286,2745.392857,4119.821429,2201.821429,,911.407407,-4875.52381,2889.333333,,1506.785714,
653,0.5259895798,0.7598006099,-98.6226920095,49.3855684154,441.321429,2254.285714,2515.5,4242.142857,2080.142857,,833.857143,-4882.285714,2888.153846,,1480.250000,
654,1.0300585393,1.3082199075,-98.5768316602,49.3855684154,462.928571,2363.172414,2475.103448,4264.275862,2213.689655,,884.655172,-4908.045455,2886.2,,1452.517241,
655,1.3245761037,1.7280756593,-98.5309713108,49.3855684154,513.793103,2383.689655,2857.862069,4114.285714,2348.206897,,976.862069,-4922.73913,2885.153846,,1424.793103,
656,1.0254819947,1.3464964713,-98.4851109615,49.3855684154,500.444444,2604.931034,2666.275862,4335.724138,2491.689655,,962.551724,-4926.478261,2883.636364,,1396.793103,
657,1.0033740625,1.3493132591,-98.4392506122,49.3855684154,460.444444,3219.321429,2246.407407,5101.857143,2807.107143,,900.821429,-4893.956522,2901.090909,,1479.035714,165.000000
658,1.5179813504,2.0226536036,-98.3933902628,49.3855684154,404.275862,3901.965517,1960.137931,5896.724138,3111.103448,,794.655172,-4926.12,2880.769231,,1341.896552,
659,1.218855226,1.8834121943,-98.3016695642,49.3855684154,399.071429,3564.964286,1995.357143,5676.321429,2832.571429,,767.321429,-4944.96,2877.727273,,1285.642857,
660,0.9198069374,1.670514524,-98.2558092148,49.3855684154,457.758621,3092.413793,2206.37931,5021.034483,2613.034483,,843.068966,-4918.115385,2876,,1257.827586,
661,0.4362924993,0.5343959928,-98.2099488655,49.3855684154,485.518519,2802.75,2201.357143,4666.428571,2500.678571,,898.321429,-4894.318182,2875.181818,,1230.035714,
662,0.676526022,1.028121838,-98.1640885162,49.3855684154,419.4,3234.366667,2259.933333,5341.333333,2611.466667,,776.933333,-4841.35,2889.384615,,1305.666667,165.000000
663,0.953787153,1.1572050229,-98.1182281668,49.3855684154,421.964286,3011.178571,2090.678571,5121.071429,2474.714286,,778.428571,-4841.565217,2872,,1173.107143,
664,1.0200788617,1.5286206245,-98.0723678175,49.3855684154,424.535714,2643.535714,2395.678571,4727.75,2247.464286,,780.357143,-4863.625,2870.727273,,1146.214286,
