longitude,latitude,sif_mean_735,sif_mean_743,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ_mean,VZA_mean
-99.9985024894,49.7628591089,0.952062,1.394725,503.262821,166.333333,3191.833333,2317.153846,4928.480769,2873.519231,0.500000,969.077922,-4788.218978,2967.861111,2817.666667,2372.882353
-99.9526421401,49.7628591089,0.900389,1.276339,476.875776,162.000000,3464.310559,2087.693750,5267.412500,2962.217391,0.500000,905.577640,-4779.871622,2974.571429,2817.666667,2444.037500
-99.9067817907,49.7628591089,1.080472,1.496813,441.645161,162.000000,3795.812903,1879.270968,5678.819355,3104.083333,0.500000,841.851613,-4789.914894,2973.986111,2817.666667,2422.948387
-99.8150610921,49.7628591089,1.034127,1.490084,434.243750,162.333333,3653.925466,1844.571429,5578.906832,2997.062893,0.333333,843.329114,-4816.124088,2963.153846,2135.000000,2265.477124
-99.5857593454,49.7628591089,0.622000,1.100489,405.673203,161.000000,3314.198718,1676.980769,5495.397436,2659.811688,0.666667,771.532468,-4856.007299,2952.814286,2658.500000,2116.490323
-99.5398989961,49.7628591089,0.576681,0.982819,385.449367,162.000000,3431.732919,1530.590062,5712.236025,2673.012500,0.500000,728.358491,-4845.648276,2955.226667,2817.666667,2121.603774
-99.4940386468,49.7628591089,0.579649,0.919159,371.868421,162.000000,3507.235669,1432.782051,5870.694268,2671.237179,0.500000,698.187097,-4820.460432,2957.104478,2817.666667,2198.480519
-99.4481782974,49.7628591089,0.608735,0.945280,361.091503,162.000000,3790.309677,1317.819355,6159.705128,2806.084416,0.000000,667.483871,-4816.420290,2955.094595,3136.000000,2173.117647
-99.4023179481,49.7628591089,0.697489,1.092016,351.718750,162.333333,3991.962500,1302.118012,6330.652174,2916.006289,0.000000,650.484277,-4827.589041,2951.166667,3136.000000,2102.431250
-99.3564575988,49.7628591089,0.656004,1.066292,368.050955,162.333333,3981.025641,1386.343949,6218.509554,2968.647436,0.000000,686.383117,-4825.846154,2958.586667,3136.000000,2141.089744
-99.2647369001,49.7628591089,0.816284,1.156012,365.620253,162.000000,3832.289308,1491.550000,6139.584906,2872.825000,0.000000,686.890323,-4786.103448,2970.213333,3136.000000,2377.496855
